UTKUSDT,VANRYUSDT
990.38544,2505.2853
469.63512,753.9521
20.65072,59.0351
16.97568,260.1425
51.7093,1980.9537
11098.63665,5449.7493
185.73978,11350.4346
45.47766,0.0
262.45755,304.8042
25.93926,0.0
8.48005,1959.1877
522.5184,2820.256
5.03516,11.6657
188.50706,682.7679
18414.81731,0.0
382.22695,16.1184
69.20646,0.0
322.56778,944.2772
462.72408,2755.4012
1184.42293,4150.6396
5.72,800.2202
0.0,17774.2959
128.05374,13970.3783
215.31624,7436.4781
135.43377,8423.1575
957.77302,17106.4903
183.46304,6948.0508
33.76102,14894.6908
19.5266,8915.0067
39.29171,12998.753
2647.45655,22282.4315
71.27743,19360.1991
128.67328,311.7441
889.94367,12969.509
12.73112,441.0895
1770.17753,16573.7247
101.27178,1550.6108
19.76172,19268.8902
53.86119,3375.7891
26.28969,3585.9406
139.39403,9732.0797
71.32947,6710.7699
6.58845,4926.8876
101.68979,1398.8135
0.0,79.4122
18.24595,2165.0
682.78229,10149.0853
19.2345,121.779
542.3262,9099.584
29.5385,18212.6407
30.08272,2054.8566
46.00537,15426.0462
149.87433,581.6345
176.55126,1505.5239
57.49038,5206.4998
628.54821,5120.1364
828.06114,15.1862
0.0,996.9696
555.38767,24.0197
395.69134,5892.5038
282.02908,17148.799
485.62843,4738.5321
1248.15821,32.1719
228.01651,24105.4115
0.0,2558.6403
21.45724,724.9998
193.32033,8132.3611
101.6197,3605.659
685.31934,805.4228
22.21406,7.047
0.0,106.519
168.64612,17165.1566
75.34046,2975.7436
6.05949,6614.2777
21.50452,3250.452
45.15311,85.0944
71.41001,553.407
502.83978,23623.2761
10.47936,0.0
86.70219,21490.0573
83.53409,0.0
279.8032,12.3112
55.11566,40.9557
6.0016,17899.0657
32.48097,4691.3695
22.12865,148.9875
424.82229,12805.9675
82.4501,4946.907
24.78532,32132.784
56.15024,1688.1747
39.55707,7.1504
8.1855,7361.4259
465.26917,11463.3634
300.73335,37.23
47.68514,5164.011
24.78639,36.0067
149.3198,24.7877
23.41984,5689.0152
320.95774,24.969
0.0,0.0
5173.98102,12866.6821
1662.86564,3038.8764
145.8633,0.0
6.15737,6173.5856
35.73317,0.0
557.6847,962.7752
521.70635,0.0
197.15187,153784.742
154.62127,775.0301
26.34437,5313.3753
908.42349,50246.3334
190.87721,5821.2221
127.88798,2322.8032
401.10701,750.513
4614.09911,392.7892
48.08591,783.742
878.38239,42.3016
526.30725,1790.5553
0.0,0.0
925.70655,0.0
911.86493,13.0065
873.0181,5073.4704
2699.47942,0.0
11.93114,0.0
146.41671,332.6881
174.9582,183.977
127.16467,421.6556
376.85401,676.0634
1451.66724,5265.1261
4257.13728,1598.4632
887.89136,10.7692
276.41646,4448.5914
0.0,384.2904
0.0,949.5231
0.0,6.3075
65.60494,998.658
74.62791,38.9348
1286.4918,578.4195
1068.84724,41.7252
3586.61419,5415.3993
3708.44422,11555.4095
75.13577,0.0
775.50854,312.738
11.62188,0.0
20.28048,4103.1241
8.37824,4139.7884
42.70525,212.4985
154.81656,1242.5073
519.98838,0.0
21.08032,7640.8113
268.93743,11291.9926
25.8923,1385.9455
167.59144,103.3505
308.18495,1988.787
0.0,1497.4294
5.93892,427.2691
38.16853,337.7267
75.08767,119.136
152.345,51.3078
136.55884,7375.0717
92.69152,1618.5308
57.38967,3860.0255
304.95655,11.9136
1174.49243,39.9894
6.12165,0.0
59.51177,10.1848
202.32013,6.0882
332.04609,5930.091
7.71953,3434.816
30.48689,2867.19
5.40176,16096.0073
154.59062,3285.0337
0.0,25157.6669
30.96821,2967.6072
11.65353,156.339
5.13639,162542.5054
19.43392,6082.1004
299.71944,14.2968
552.93938,4756.4015
1761.56477,5323.2285
1768.92465,18864.1229
48.54462,11.9664
135.7787,97.5382
53.41708,5135.7457
89.64068,10.5196
59.10312,37.2606
25.36044,6850.9732
110.14644,10.9174
98.93943,2395.6574
24.76096,132.3348
311.99915,4759.1536
189.39035,5501.5577
189.31822,4701.112
22.28427,3604.3196
28.4999,0.0
541.32166,2035.2969
466.83567,17260.6424
44.29964,9973.1978
55.26159,11250.09
523.84566,37415.9126
152.65925,8938.9128
108.68544,12539.4276
15.1965,8099.5524
76.34982,22662.7612
0.0,7596.8945
214.09407,8375.6349
120.70795,11584.0823
23.91049,7956.2618
35.63336,23018.5259
32.12154,2543.1087
0.0,49.9653
63.34089,152.4283
1133.83202,46.4546
57.22321,167.8446
890.7096,12098.6808
24.736,2682.3163
1525.09107,1193.0225
0.0,2043.4337
69.78102,37.4064
11.0,205.8202
40.51562,0.0
432.1807,0.0
3384.69171,137.8899
12.375,35.0122
4.95,19705.6136
194.92839,15.581
78.92987,17173.0779
5.445,2246.3545
0.0,536.0288
27.41952,21.9116
76.71658,20.6146
46.12822,5.1012
10.50118,16.2882
0.0,0.0
0.0,0.0
0.0,221.6228
45.76407,16.5506
4608.56941,4907.8047
108.09951,0.0
1522.34917,33.713
4792.61966,0.0
45.67953,27817.0812
267.74747,110.5454
106.45772,3925.8022
52.41516,55.1324
243.35236,4339.7006
118.61642,33.5388
54.92803,8972.4148
1213.38164,8593.1995
0.0,220.6733
150.0483,1257.5074
270.39428,303.8802
4206.78265,203.0452
99.55621,13265.7894
1116.88485,3514.5415
191.24313,6294.6829
385.4382,13412.6131
48.56858,4739.0615
358.00327,91.1346
110.81464,6778.0741
21.70446,15.1202
178.01948,755.246
2087.69399,3309.6494
